berth_id,category,length_m,width_m,depth_m,base_rate_eur_per_m_day,power_kw,annual_contract
0,A,8.0,3.39,2.19,1.864,3.7,1
1,A,8.0,3.40,2.17,1.936,3.7,0
2,A,8.0,3.43,2.23,1.916,3.7,0
3,A,8.0,3.35,2.17,1.852,3.7,1
4,A,8.0,3.45,2.20,1.968,3.7,0
5,A,8.0,3.43,2.17,1.993,3.7,0
6,A,8.0,3.41,2.22,1.957,3.7,0
7,A,8.0,3.45,2.18,1.943,3.7,0
8,A,8.0,3.38,2.24,1.987,3.7,1
9,A,8.0,3.37,2.16,1.886,3.7,1
10,A,8.0,3.38,2.20,1.946,3.7,1
11,A,8.0,3.38,2.25,1.994,3.7,0
12,A,8.0,3.36,2.18,1.927,3.7,1
13,A,8.0,3.37,2.25,1.859,3.7,1
14,A,8.0,3.40,2.19,1.966,3.7,1
15,A,8.0,3.41,2.22,1.943,3.7,1
16,A,8.0,3.38,2.21,1.844,3.7,0
17,A,8.0,3.40,2.20,1.954,3.7,0
18,A,8.0,3.39,2.21,1.966,3.7,0
19,A,8.0,3.37,2.22,1.945,3.7,1
20,A,8.0,3.37,2.23,1.853,3.7,1
21,A,8.0,3.38,2.22,1.990,3.7,1
22,A,8.0,3.38,2.22,1.923,3.7,0
23,A,8.0,3.37,2.17,1.932,3.7,1
24,A,8.0,3.38,2.21,1.903,3.7,1
25,A,8.0,3.45,2.19,1.876,3.7,1
26,A,8.0,3.39,2.16,1.937,3.7,1
27,A,8.0,3.39,2.19,1.974,3.7,0
28,A,8.0,3.40,2.26,1.846,3.7,1
29,A,8.0,3.37,2.23,1.986,3.7,1
30,A,8.0,3.40,2.23,1.966,3.7,1
31,A,8.0,3.38,2.23,1.858,3.7,1
32,A,8.0,3.42,2.21,1.915,3.7,1
33,A,8.0,3.41,2.18,1.891,3.7,0
34,A,8.0,3.38,2.26,1.852,3.7,0
35,A,8.0,3.44,2.19,1.929,3.7,0
36,A,8.0,3.37,2.24,1.912,3.7,1
37,A,8.0,3.35,2.23,1.885,3.7,1
38,A,8.0,3.37,2.20,1.901,3.7,1
39,A,8.0,3.36,2.24,1.911,3.7,0
40,A,8.0,3.40,2.22,1.932,3.7,1
41,A,8.0,3.36,2.23,1.958,3.7,1
42,A,8.0,3.41,2.26,1.994,3.7,1
43,A,8.0,3.36,2.17,1.884,3.7,1
44,A,8.0,3.38,2.18,1.935,3.7,1
45,A,8.0,3.36,2.17,1.971,3.7,0
46,A,8.0,3.39,2.19,1.845,3.7,1
47,A,8.0,3.35,2.25,1.949,3.7,1
48,A,8.0,3.41,2.22,1.994,3.7,0
49,A,8.0,3.35,2.23,1.980,3.7,0
50,A,8.0,3.36,2.24,1.983,3.7,1
