request_id,segment,boat_type,length_m,beam_m,draft_m,power_kw,booking_day,arrival_day,departure_day,nights,lead_days
133,sail,sailboat,9.5,3.14,1.43,3.3,-134,9,15,6,143
184,super,yacht,22.64,6.14,2.66,23.7,-129,13,16,3,142
151,sail,sailboat,11.32,3.73,1.74,6.5,-124,10,11,1,134
314,sail,sailboat,10.71,3.46,1.85,3.4,-123,23,31,8,146
1,sail,sailboat,12.94,4.17,2.39,0.0,-116,0,6,6,116
547,small,motorboat,7.59,2.67,0.77,2.9,-113,35,42,7,148
152,super,yacht,26.66,7.32,3.04,23.1,-107,10,13,3,117
241,super,yacht,28.27,7.32,3.7,26.2,-107,17,21,4,124
250,motor,motorboat,10.0,2.89,1.03,0.0,-106,18,25,7,124
374,super,yacht,25.67,6.54,2.8,26.5,-104,27,30,3,131
300,sail,sailboat,15.31,4.99,2.52,13.2,-102,21,31,10,123
730,super,yacht,21.64,5.75,2.43,33.5,-101,42,49,7,143
914,small,motorboat,6.76,2.33,0.71,2.7,-101,48,52,4,149
760,sail,sailboat,16.26,5.38,2.54,12.4,-97,43,45,2,140
880,sail,sailboat,9.58,3.05,1.44,0.0,-97,47,53,6,144
311,sail,sailboat,9.5,3.06,1.56,3.3,-96,22,27,5,118
929,sail,sailboat,13.16,4.15,2.38,4.6,-95,49,51,2,144
1031,small,motorboat,8.68,3.08,0.86,0.0,-95,53,55,2,148
1134,motor,motorboat,15.58,4.34,1.55,10.2,-93,57,58,1,150
418,super,yacht,22.23,6.13,2.81,13.0,-90,30,39,9,120
648,sail,sailboat,13.17,4.03,2.23,4.3,-90,39,44,5,129
898,motor,motorboat,13.75,4.02,1.23,5.9,-90,48,50,2,138
805,sail,sailboat,14.7,4.89,2.42,6.1,-88,45,46,1,133
134,motor,motorboat,18.52,5.2,1.87,10.2,-86,9,12,3,95
1248,sail,sailboat,13.37,4.14,2.37,3.8,-85,61,64,3,146
1008,super,yacht,23.3,5.96,2.76,34.8,-83,52,58,6,135
60,sail,sailboat,13.2,4.04,2.03,0.0,-82,4,7,3,86
1604,motor,motorboat,18.27,5.63,1.94,9.1,-80,69,74,5,149
1155,super,yacht,24.3,6.71,3.05,20.4,-78,58,61,3,136
1336,super,yacht,22.06,5.78,2.71,24.5,-78,64,67,3,142
1445,small,motorboat,8.38,2.71,0.79,2.5,-78,66,68,2,144
1534,sail,sailboat,12.93,3.92,2.19,5.4,-77,68,70,2,145
1673,super,yacht,27.89,7.58,3.52,18.5,-77,72,73,1,149
116,sail,sailboat,10.86,3.5,1.91,4.7,-76,8,15,7,84
609,super,yacht,24.24,6.3,3.22,27.6,-76,38,40,2,114
1748,sail,sailboat,10.75,3.54,1.89,4.2,-76,73,78,5,149
239,sail,sailboat,14.68,4.85,2.26,4.9,-75,17,37,20,92
701,sail,sailboat,13.11,4.44,2.14,0.0,-72,41,47,6,113
1069,sail,sailboat,13.29,4.18,2.1,4.5,-72,54,59,5,126
630,motor,motorboat,14.93,4.43,1.59,4.8,-71,38,43,5,109
762,sail,sailboat,14.02,4.28,2.09,0.0,-71,43,46,3,114
109,motor,motorboat,11.9,3.71,1.24,6.5,-70,7,14,7,77
842,super,yacht,21.04,5.7,2.66,18.2,-70,46,56,10,116
796,small,motorboat,6.95,2.36,0.72,3.1,-69,44,47,3,113
1366,super,yacht,22.84,6.32,2.54,34.5,-69,64,66,2,133
412,super,yacht,20.07,5.13,2.22,14.5,-68,30,41,11,98
584,super,yacht,22.76,6.4,2.61,33.4,-68,37,62,25,105
1475,sail,sailboat,10.24,3.37,1.85,3.6,-68,67,72,5,135
660,sail,sailboat,17.0,5.55,2.76,6.5,-67,39,40,1,106
1311,super,yacht,22.31,6.35,2.73,15.4,-67,63,64,1,130
261,sail,sailboat,15.49,5.11,2.55,6.6,-66,19,21,2,85
1296,sail,sailboat,14.89,4.71,2.61,5.3,-66,62,68,6,128
1223,sail,sailboat,9.9,3.04,1.5,2.1,-65,60,65,5,125
2200,motor,motorboat,10.0,2.84,0.88,5.5,-64,85,87,2,149
1758,sail,sailboat,13.26,4.28,2.04,4.2,-62,74,75,1,136
345,motor,motorboat,16.3,4.55,1.51,10.0,-61,25,32,7,86
989,super,yacht,25.03,6.94,3.23,37.8,-61,52,55,3,113
2363,super,yacht,24.24,6.2,3.0,36.6,-61,88,108,20,149
1744,super,yacht,20.56,5.76,2.35,17.8,-59,73,76,3,132
1976,super,yacht,25.73,7.2,3.13,31.5,-59,79,91,12,138
2408,super,yacht,28.39,7.62,3.26,33.1,-59,89,93,4,148
37,sail,sailboat,10.56,3.47,1.74,4.0,-58,2,5,3,60
40,motor,motorboat,20.61,5.85,1.82,39.2,-58,2,4,2,60
86,super,yacht,20.93,5.37,2.44,13.9,-57,6,20,14,63
1251,sail,sailboat,14.49,4.5,2.29,4.6,-57,61,63,2,118
1559,super,yacht,24.34,6.3,3.04,12.0,-56,68,73,5,124
238,motor,motorboat,16.42,5.04,1.59,7.1,-55,17,23,6,72
1325,motor,motorboat,18.46,5.2,1.89,8.6,-55,63,64,1,118
1561,small,motorboat,8.4,2.82,0.86,2.3,-55,68,71,3,123
1624,sail,sailboat,14.01,4.58,2.22,4.4,-55,70,77,7,125
161,super,yacht,26.49,6.85,3.25,17.3,-54,10,13,3,64
602,super,yacht,27.93,7.18,3.63,25.1,-54,37,40,3,91
1851,small,motorboat,7.04,2.5,0.72,0.0,-54,76,79,3,130
2380,super,yacht,27.5,7.29,3.33,23.7,-54,88,92,4,142
62,motor,motorboat,16.38,4.78,1.68,6.4,-53,4,6,2,57
282,motor,motorboat,10.0,3.12,1.04,5.5,-53,20,21,1,73
552,motor,motorboat,16.87,4.72,1.79,7.5,-53,35,38,3,88
88,motor,motorboat,15.94,4.98,1.45,13.5,-52,6,7,1,58
696,small,motorboat,6.57,2.15,0.73,0.0,-52,40,42,2,92
757,sail,sailboat,11.77,3.88,2.0,4.0,-52,43,50,7,95
1119,small,motorboat,6.05,2.15,0.61,2.7,-52,56,63,7,108
1993,motor,motorboat,19.76,5.65,1.77,9.2,-52,79,82,3,131
2681,super,yacht,26.62,7.25,3.33,22.7,-52,95,97,2,147
366,super,yacht,23.84,6.69,2.64,18.1,-51,26,27,1,77
877,small,motorboat,6.09,2.13,0.62,0.0,-51,47,48,1,98
1501,motor,motorboat,14.32,4.37,1.5,5.1,-51,67,70,3,118
1864,sail,sailboat,14.43,4.39,2.45,0.0,-51,76,83,7,127
2123,sail,sailboat,12.67,3.97,1.98,5.4,-51,82,89,7,133
2255,sail,sailboat,15.79,5.26,2.79,0.0,-51,86,93,7,137
2521,super,yacht,24.51,6.65,3.2,16.8,-51,92,95,3,143
118,sail,sailboat,12.11,3.79,2.1,0.0,-50,8,10,2,58
385,sail,sailboat,13.76,4.19,2.31,0.0,-50,28,30,2,78
708,sail,sailboat,13.95,4.27,2.53,4.0,-50,41,43,2,91
1880,small,motorboat,8.06,2.72,0.76,2.4,-50,77,83,6,127
1898,super,yacht,28.03,7.16,3.72,24.8,-50,77,83,6,127
79,motor,motorboat,16.7,4.69,1.51,0.0,-49,5,7,2,54
1182,sail,sailboat,9.5,2.91,1.56,2.7,-48,59,86,27,107
2138,super,yacht,22.33,6.19,2.76,33.9,-48,83,86,3,131
2923,sail,sailboat,13.05,4.4,2.03,5.8,-48,100,103,3,148
101,small,motorboat,7.55,2.47,0.8,0.0,-47,7,9,2,54
132,sail,sailboat,16.56,5.43,2.64,6.0,-47,9,20,11,56
326,motor,motorboat,12.92,3.9,1.3,3.8,-47,24,43,19,71
799,super,yacht,26.27,7.0,3.52,34.2,-47,45,48,3,92
3059,motor,motorboat,12.65,3.58,1.1,3.5,-47,102,103,1,149
740,motor,motorboat,16.31,4.6,1.7,7.7,-46,42,44,2,88
1199,sail,sailboat,14.32,4.38,2.64,5.3,-46,59,64,5,105
1239,sail,sailboat,10.73,3.56,1.72,0.0,-46,61,62,1,107
1780,super,yacht,25.44,6.69,3.21,16.3,-46,74,78,4,120
2100,super,yacht,22.82,6.44,2.65,15.7,-46,82,84,2,128
128,super,yacht,22.54,5.81,2.93,14.4,-45,8,10,2,53
3031,super,yacht,25.81,7.29,3.45,17.2,-45,101,102,1,146
141,sail,sailboat,10.83,3.32,1.78,5.5,-44,9,12,3,53
24,sail,sailboat,12.63,4.1,1.92,4.3,-43,1,5,4,44
2160,super,yacht,26.21,6.76,2.9,28.5,-43,84,95,11,127
1039,super,yacht,24.54,6.82,3.25,37.1,-42,53,54,1,95
1156,super,yacht,26.3,6.98,2.95,26.3,-42,58,59,1,100
1414,motor,motorboat,13.71,4.24,1.3,3.4,-42,66,69,3,108
1835,motor,motorboat,19.44,5.66,1.79,7.7,-42,75,84,9,117
