request_id,segment,boat_type,length_m,beam_m,draft_m,power_kw,booking_day,arrival_day,departure_day,nights,lead_days
95,sail,sailboat,10.85,3.68,1.72,0.0,-146,4,8,4,150
175,small,motorboat,6.58,2.2,0.66,3.0,-135,10,35,25,145
151,sail,sailboat,17.0,5.19,2.72,12.3,-117,8,10,2,125
305,sail,sailboat,11.83,3.65,1.94,0.0,-117,18,19,1,135
1,sail,sailboat,12.94,4.17,2.39,0.0,-116,0,6,6,116
203,small,motorboat,8.57,3.02,0.93,0.0,-113,11,35,24,124
143,motor,motorboat,15.71,4.56,1.53,0.0,-111,8,11,3,119
471,super,yacht,20.3,5.2,2.3,22.9,-111,27,29,2,138
918,small,motorboat,6.76,2.33,0.71,2.7,-106,43,47,4,149
334,motor,motorboat,14.3,4.09,1.5,5.3,-103,19,22,3,122
772,small,motorboat,6.14,2.04,0.64,2.1,-102,38,41,3,140
685,sail,sailboat,10.03,3.29,1.49,0.0,-100,36,49,13,136
315,motor,motorboat,20.65,6.11,1.81,19.3,-99,18,20,2,117
879,sail,sailboat,12.43,4.21,2.06,4.9,-99,42,53,11,141
267,sail,sailboat,14.98,5.04,2.48,6.6,-98,16,19,3,114
312,super,yacht,28.71,8.01,3.1,26.4,-95,18,20,2,113
902,motor,motorboat,13.75,4.02,1.23,5.9,-95,43,45,2,138
945,motor,motorboat,16.52,4.75,1.46,0.0,-92,44,45,1,136
199,sail,sailboat,12.63,3.97,2.33,0.0,-91,11,14,3,102
1028,sail,sailboat,10.08,3.13,1.54,5.2,-90,46,47,1,136
322,super,yacht,22.64,6.32,2.49,27.3,-88,18,21,3,106
1428,sail,sailboat,10.23,3.12,1.71,5.3,-86,59,65,6,145
14,sail,sailboat,9.5,3.2,1.61,3.5,-85,0,1,1,85
1421,motor,motorboat,16.12,4.52,1.67,11.0,-84,59,60,1,143
1449,small,motorboat,8.38,2.71,0.79,2.5,-84,60,62,2,144
61,sail,sailboat,13.2,4.04,2.03,0.0,-83,3,6,3,86
1538,sail,sailboat,12.93,3.92,2.19,5.4,-83,62,64,2,145
1752,sail,sailboat,10.75,3.54,1.89,4.2,-83,66,71,5,149
280,sail,sailboat,11.34,3.53,1.98,6.0,-82,17,24,7,99
1987,motor,motorboat,11.95,3.7,1.24,0.0,-79,71,73,2,150
634,motor,motorboat,14.93,4.43,1.59,4.8,-76,33,38,5,109
717,motor,motorboat,21.06,6.02,2.21,12.8,-74,37,44,7,111
800,small,motorboat,6.95,2.36,0.72,3.1,-74,39,42,3,113
1479,sail,sailboat,10.24,3.37,1.85,3.6,-74,61,66,5,135
1558,super,yacht,21.93,5.75,2.91,23.0,-74,63,69,6,137
588,super,yacht,22.76,6.4,2.61,33.4,-73,32,57,25,105
1299,sail,sailboat,14.89,4.71,2.61,5.3,-73,55,61,6,128
111,motor,motorboat,11.9,3.71,1.24,6.5,-72,5,12,7,77
664,sail,sailboat,17.0,5.55,2.76,6.5,-72,34,35,1,106
2356,motor,motorboat,17.98,5.14,1.8,0.0,-71,78,79,1,149
2372,super,yacht,24.24,6.2,3.0,36.6,-71,78,98,20,149
877,super,yacht,27.86,7.79,3.3,0.0,-70,42,43,1,112
1164,sail,sailboat,14.43,4.69,2.44,3.2,-70,51,52,1,121
2012,super,yacht,24.76,6.75,3.1,18.6,-69,71,74,3,140
