request_id,segment,boat_type,length_m,beam_m,draft_m,power_kw,booking_day,arrival_day,departure_day,nights,lead_days
173,super,yacht,22.64,6.14,2.66,23.7,-123,19,22,3,142
247,sail,sailboat,12.36,4.19,2.03,5.6,-118,27,32,5,145
296,sail,sailboat,10.71,3.46,1.85,3.4,-114,32,40,8,146
81,small,motorboat,7.99,2.7,0.82,0.0,-113,9,16,7,122
129,motor,motorboat,18.55,5.63,1.72,0.0,-109,15,16,1,124
133,super,yacht,21.25,6.06,2.67,31.8,-103,15,19,4,118
192,super,yacht,24.78,6.39,3.21,13.4,-103,22,24,2,125
528,small,motorboat,7.59,2.67,0.77,2.9,-102,46,53,7,148
11,super,yacht,20.05,5.58,2.59,0.0,-97,1,4,3,98
332,super,yacht,27.39,7.7,3.12,17.8,-94,34,37,3,128
478,motor,motorboat,13.0,3.71,1.26,6.1,-93,44,45,1,137
150,small,motorboat,6.36,2.12,0.63,2.2,-92,17,28,11,109
350,super,yacht,25.1,6.9,2.92,15.2,-91,36,37,1,127
321,sail,sailboat,14.02,4.4,2.14,0.0,-90,33,38,5,123
776,sail,sailboat,12.89,4.19,2.06,4.2,-89,60,66,6,149
791,sail,sailboat,10.9,3.29,1.94,6.6,-88,61,64,3,149
293,sail,sailboat,9.5,3.06,1.56,3.3,-87,31,36,5,118
334,sail,sailboat,11.67,3.93,1.89,5.6,-86,34,35,1,120
893,small,motorboat,6.76,2.33,0.71,2.7,-84,65,69,4,149
574,super,yacht,26.05,7.42,3.25,21.7,-79,49,51,2,128
708,motor,motorboat,12.81,3.78,1.29,6.2,-78,56,58,2,134
908,sail,sailboat,13.16,4.15,2.38,4.6,-78,66,68,2,144
629,sail,sailboat,13.17,4.03,2.23,4.3,-77,52,57,5,129
854,sail,sailboat,12.43,4.21,2.06,4.9,-77,64,75,11,141
270,super,yacht,21.66,5.54,2.85,39.1,-76,30,33,3,106
877,motor,motorboat,13.75,4.02,1.23,5.9,-73,65,67,2,138
920,motor,motorboat,16.52,4.75,1.46,0.0,-70,66,67,1,136
1228,sail,sailboat,13.37,4.14,2.37,3.8,-70,76,79,3,146
87,motor,motorboat,17.35,5.41,1.56,10.8,-69,10,13,3,79
413,sail,sailboat,12.26,3.98,2.05,4.9,-68,39,40,1,107
1018,sail,sailboat,13.14,4.4,2.2,3.3,-66,70,78,8,136
1135,super,yacht,24.3,6.71,3.05,20.4,-63,73,76,3,136
1424,small,motorboat,8.38,2.71,0.79,2.5,-62,82,84,2,144
106,sail,sailboat,13.13,4.39,2.27,0.0,-61,12,15,3,73
597,motor,motorboat,15.66,4.5,1.43,7.3,-60,50,53,3,110
1513,sail,sailboat,12.93,3.92,2.19,5.4,-59,86,88,2,145
611,motor,motorboat,14.93,4.43,1.59,4.8,-58,51,56,5,109
565,super,yacht,22.76,6.4,2.61,33.4,-57,48,73,25,105
14,sail,sailboat,12.34,3.81,1.86,0.0,-55,2,3,1,57
96,sail,sailboat,13.61,4.58,2.27,3.2,-54,11,12,1,65
1345,super,yacht,22.84,6.32,2.54,34.5,-53,80,82,2,133
1290,super,yacht,22.31,6.35,2.73,15.4,-52,78,79,1,130
58,motor,motorboat,16.38,4.78,1.68,6.4,-51,6,8,2,57
485,super,yacht,22.63,5.75,2.51,31.2,-51,44,49,5,95
29,motor,motorboat,13.83,4.19,1.47,5.6,-50,3,16,13,53
1203,sail,sailboat,9.9,3.04,1.5,2.1,-50,75,80,5,125
1959,motor,motorboat,11.95,3.7,1.24,0.0,-50,100,102,2,150
32,small,motorboat,8.66,3.12,0.81,0.0,-49,3,10,7,52
191,motor,motorboat,21.73,6.43,2.13,13.0,-48,22,25,3,70
37,sail,sailboat,12.34,4.01,2.07,0.0,-47,4,7,3,51
1140,sail,sailboat,14.43,4.69,2.44,3.2,-47,74,75,1,121
22,motor,motorboat,14.82,4.54,1.52,3.6,-46,2,3,1,48
437,sail,sailboat,14.96,4.57,2.38,0.0,-46,41,45,4,87
42,super,yacht,25.18,7.05,2.91,24.1,-43,4,9,5,47
164,super,yacht,26.57,7.33,3.06,14.2,-43,18,19,1,61
102,motor,motorboat,12.33,3.5,1.3,5.1,-42,12,14,2,54
