scenario,seed,policy,revenue,acceptance_rate,occupancy,revpabd,mean_waste_m,rejected_value,sim_seconds,acc_small,acc_sail,acc_motor,acc_super
low,7,online[first_fit],1705962.0,0.9311,0.4964,39.46,3.15,348281.0,3.1,1.0,0.938,0.91,0.865
low,7,online[best_fit],1665007.0,0.9528,0.5041,38.52,1.78,295750.0,2.7,1.0,0.961,0.939,0.891
low,7,online[revenue_max],1370016.0,0.7734,0.4001,31.69,7.79,1036806.0,2.8,1.0,0.855,0.687,0.358
low,7,batch[plain],1386698.0,0.783,0.4058,32.08,7.64,1012072.0,6.5,1.0,0.864,0.703,0.364
low,7,batch[tuned],1696044.0,0.9455,0.5082,39.23,1.79,271115.0,5.8,1.0,0.947,0.934,0.895
low,11,online[first_fit],1703334.0,0.9214,0.5081,39.4,3.24,373325.0,2.9,1.0,0.93,0.891,0.848
low,11,online[best_fit],1656492.0,0.9425,0.5167,38.32,1.75,313015.0,3.0,1.0,0.949,0.92,0.891
low,11,online[revenue_max],1388000.0,0.778,0.4164,32.11,7.8,1026668.0,3.1,1.0,0.852,0.693,0.333
low,11,batch[plain],1392170.0,0.7796,0.4176,32.21,7.75,1019280.0,6.4,1.0,0.854,0.695,0.335
low,11,batch[tuned],1681069.0,0.9372,0.5192,38.89,1.78,292187.0,5.9,1.0,0.941,0.914,0.893
low,23,online[first_fit],1711163.0,0.934,0.5067,39.58,3.28,295325.0,2.7,1.0,0.944,0.91,0.861
low,23,online[best_fit],1667327.0,0.957,0.5139,38.57,1.88,229285.0,3.0,1.0,0.956,0.95,0.916
low,23,online[revenue_max],1394496.0,0.7768,0.4134,32.26,7.56,942346.0,3.2,1.0,0.85,0.693,0.37
low,23,batch[plain],1403216.0,0.7775,0.4159,32.46,7.52,930136.0,7.2,1.0,0.851,0.692,0.376
low,23,batch[tuned],1692137.0,0.9431,0.5161,39.14,1.87,207672.0,6.6,1.0,0.935,0.938,0.908
base,7,online[first_fit],2039809.0,0.8219,0.6514,47.19,3.08,1037815.0,4.7,1.0,0.833,0.755,0.721
base,7,online[best_fit],2021687.0,0.8503,0.6606,46.77,1.88,961382.0,4.3,1.0,0.853,0.802,0.769
base,7,online[revenue_max],1607466.0,0.6727,0.5254,37.19,6.68,1846562.0,4.1,1.0,0.728,0.56,0.296
base,7,batch[plain],1617278.0,0.6766,0.5292,37.41,6.62,1830899.0,8.6,1.0,0.732,0.568,0.299
base,7,batch[tuned],2055475.0,0.8336,0.665,47.55,1.84,921904.0,8.0,1.0,0.822,0.789,0.78
base,11,online[first_fit],1979752.0,0.836,0.6221,45.8,3.12,1008152.0,3.8,1.0,0.836,0.783,0.741
base,11,online[best_fit],1953399.0,0.8612,0.6324,45.19,1.83,932588.0,4.5,1.0,0.857,0.823,0.779
base,11,online[revenue_max],1565484.0,0.6905,0.5012,36.21,6.97,1787907.0,4.5,1.0,0.734,0.597,0.316
base,11,batch[plain],1573473.0,0.6931,0.5044,36.4,6.89,1777117.0,8.9,1.0,0.738,0.597,0.323
base,11,batch[tuned],1991169.0,0.8488,0.6385,46.06,1.8,891415.0,8.2,1.0,0.835,0.817,0.772
base,23,online[first_fit],1975322.0,0.8314,0.6291,45.7,3.07,910770.0,4.3,1.0,0.835,0.774,0.73
base,23,online[best_fit],1969831.0,0.8632,0.6421,45.57,1.92,819779.0,4.3,0.997,0.862,0.823,0.789
base,23,online[revenue_max],1552484.0,0.6871,0.5069,35.91,6.98,1706417.0,4.4,1.0,0.737,0.589,0.288
base,23,batch[plain],1567204.0,0.6898,0.5133,36.25,6.91,1683962.0,8.8,1.0,0.739,0.597,0.287
base,23,batch[tuned],1997277.0,0.8445,0.6463,46.2,1.85,787476.0,8.3,0.999,0.831,0.805,0.79
high,7,online[first_fit],2169880.0,0.7493,0.723,50.2,2.95,1637671.0,5.5,0.991,0.742,0.674,0.654
high,7,online[best_fit],2164536.0,0.7764,0.7317,50.07,1.89,1548158.0,5.5,0.98,0.764,0.723,0.694
high,7,online[revenue_max],1664028.0,0.6143,0.5831,38.49,6.5,2544156.0,5.3,1.0,0.648,0.497,0.249
high,7,batch[plain],1674230.0,0.6191,0.5869,38.73,6.4,2528392.0,10.1,1.0,0.654,0.503,0.253
high,7,batch[tuned],2197793.0,0.7563,0.7371,50.84,1.79,1503016.0,10.4,0.978,0.73,0.704,0.702
high,11,online[first_fit],2165499.0,0.7411,0.7285,50.09,3.03,1751435.0,5.6,0.974,0.731,0.676,0.628
high,11,online[best_fit],2162906.0,0.7686,0.7369,50.03,1.97,1665241.0,5.5,0.963,0.759,0.713,0.682
high,11,online[revenue_max],1681012.0,0.6084,0.5927,38.89,6.3,2617815.0,5.5,0.999,0.634,0.496,0.24
high,11,batch[plain],1693041.0,0.6125,0.5979,39.17,6.2,2597738.0,10.1,0.999,0.639,0.501,0.242
high,11,batch[tuned],2199623.0,0.7477,0.7426,50.88,1.85,1610323.0,9.6,0.953,0.721,0.701,0.692
high,23,online[first_fit],2176941.0,0.7557,0.7162,50.36,2.95,1591559.0,4.9,0.988,0.749,0.69,0.647
high,23,online[best_fit],2181521.0,0.7822,0.7264,50.47,1.95,1495803.0,4.9,0.982,0.767,0.732,0.71
high,23,online[revenue_max],1705288.0,0.6174,0.5809,39.45,6.36,2437855.0,5.1,1.0,0.657,0.498,0.238
high,23,batch[plain],1718692.0,0.6226,0.5866,39.76,6.26,2417242.0,9.7,1.0,0.663,0.507,0.236
high,23,batch[tuned],2216088.0,0.7624,0.7302,51.27,1.81,1446142.0,9.9,0.976,0.732,0.719,0.718
