scenario,seed,space,frag,opp,batch_days,policy,revenue,acceptance_rate,occupancy,revpabd,mean_waste_m,rejected_value,sim_seconds,acc_small,acc_sail,acc_motor,acc_super
low,7,,,,,online[best_fit],1665007.0,0.9528,0.5041,38.52,1.78,295750.0,2.8,1.0,0.961,0.939,0.891
low,11,,,,,online[best_fit],1656492.0,0.9425,0.5167,38.32,1.75,313015.0,3.0,1.0,0.949,0.92,0.891
base,7,,,,,online[best_fit],2021687.0,0.8503,0.6606,46.77,1.88,961382.0,4.6,1.0,0.853,0.802,0.769
base,11,,,,,online[best_fit],1953399.0,0.8612,0.6324,45.19,1.83,932588.0,4.0,1.0,0.857,0.823,0.779
high,7,,,,,online[best_fit],2164536.0,0.7764,0.7317,50.07,1.89,1548158.0,5.2,0.98,0.764,0.723,0.694
high,11,,,,,online[best_fit],2162906.0,0.7686,0.7369,50.03,1.97,1665241.0,5.2,0.963,0.759,0.713,0.682
low,7,0.0,0.0,0.0,1,"batch[1d,space=0,frag=0,opp=0]",1386698.0,0.783,0.4058,32.08,7.64,1012072.0,6.6,1.0,0.864,0.703,0.364
low,11,0.0,0.0,0.0,1,"batch[1d,space=0,frag=0,opp=0]",1392170.0,0.7796,0.4176,32.21,7.75,1019280.0,6.6,1.0,0.854,0.695,0.335
low,7,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1401192.0,0.7878,0.4072,32.41,7.48,999025.0,8.3,1.0,0.861,0.708,0.41
low,11,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1407858.0,0.7845,0.4185,32.57,7.59,1005073.0,7.9,1.0,0.852,0.703,0.373
low,7,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1480071.0,0.8217,0.4266,34.24,5.71,859366.0,7.3,1.0,0.875,0.746,0.562
low,11,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1484888.0,0.8186,0.4398,34.35,5.83,863379.0,7.7,1.0,0.87,0.736,0.539
low,7,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",1582386.0,0.8812,0.4654,36.61,3.53,598984.0,7.1,1.0,0.912,0.832,0.725
low,11,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",1562732.0,0.8768,0.4769,36.15,3.46,626600.0,6.6,1.0,0.904,0.818,0.732
low,7,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",1646849.0,0.9298,0.494,38.1,2.3,396795.0,6.3,1.0,0.946,0.904,0.838
low,11,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",1646404.0,0.9223,0.5089,38.09,2.32,409250.0,6.4,1.0,0.941,0.887,0.818
low,7,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",1673114.0,0.9474,0.5039,38.7,1.76,294190.0,5.8,1.0,0.949,0.936,0.899
low,11,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",1667837.0,0.941,0.5162,38.58,1.76,307783.0,6.2,1.0,0.944,0.917,0.908
low,7,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",1666680.0,0.9447,0.5021,38.56,1.7,296048.0,5.9,1.0,0.941,0.937,0.903
low,11,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",1652471.0,0.9359,0.5127,38.23,1.67,315834.0,5.9,1.0,0.932,0.917,0.908
base,7,0.0,0.0,0.0,1,"batch[1d,space=0,frag=0,opp=0]",1617278.0,0.6766,0.5292,37.41,6.62,1830899.0,8.3,1.0,0.732,0.568,0.299
base,11,0.0,0.0,0.0,1,"batch[1d,space=0,frag=0,opp=0]",1573473.0,0.6931,0.5044,36.4,6.89,1777117.0,8.5,1.0,0.738,0.597,0.323
base,7,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1634544.0,0.6827,0.5303,37.81,6.54,1815289.0,8.5,1.0,0.735,0.572,0.33
base,11,0.25,0.0,0.0,1,"batch[1d,space=0.25,frag=0,opp=0]",1591180.0,0.6985,0.5071,36.81,6.81,1757075.0,8.3,1.0,0.741,0.602,0.346
base,7,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1745896.0,0.7222,0.5594,40.39,5.2,1641729.0,8.3,1.0,0.756,0.623,0.472
base,11,0.5,0.0,0.0,1,"batch[1d,space=0.5,frag=0,opp=0]",1691794.0,0.7315,0.5319,39.14,5.37,1596948.0,8.2,1.0,0.76,0.647,0.455
base,7,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",1876602.0,0.7863,0.6161,43.41,3.3,1335943.0,8.9,1.0,0.809,0.711,0.611
base,11,0.75,0.0,0.0,1,"batch[1d,space=0.75,frag=0,opp=0]",1820138.0,0.8016,0.5875,42.11,3.32,1290872.0,8.2,1.0,0.821,0.735,0.613
base,7,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",1986386.0,0.8305,0.6525,45.95,2.29,1071680.0,8.2,1.0,0.842,0.775,0.707
base,11,1.0,0.0,0.0,1,"batch[1d,space=1,frag=0,opp=0]",1927915.0,0.8452,0.6236,44.6,2.25,1036735.0,8.0,1.0,0.853,0.789,0.74
base,7,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",2029542.0,0.8439,0.6595,46.95,1.81,952666.0,8.0,1.0,0.84,0.799,0.772
base,11,1.5,0.0,0.0,1,"batch[1d,space=1.5,frag=0,opp=0]",1963765.0,0.8555,0.6327,45.43,1.8,927256.0,7.7,1.0,0.843,0.825,0.779
base,7,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",2018013.0,0.8395,0.6565,46.68,1.74,955809.0,7.6,1.0,0.829,0.801,0.772
base,11,2.0,0.0,0.0,1,"batch[1d,space=2,frag=0,opp=0]",1955752.0,0.8526,0.6305,45.24,1.74,925761.0,7.5,1.0,0.836,0.821,0.792
high,7,0.0,0.0,0.0,1,"batch[1d,space=0,frag=0,opp=0]",1674230.0,0.6191,0.5869,38.73,6.4,2528392.0,10.3,1.0,0.654,0.503,0.253
